Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,23/02/2018 10:04:30,5821967,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.6870530183,1940655.66666667,3361024.9656153,5821633,15,5821967,2910983.5,4116279.99821447,5821633,334,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5152897638,0.1717632546,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
80,6,23/02/2018 10:04:30,55332482,154,107,54442,80771,646,0,353.5194805195,270.7849934725,2920,0,754.8691588785,516.5786225592,2443.646030554,4.7169400426,212817.238461538,409088.968727227,1183051,4,55330356,361636.31372549,480713.04049294,1183051,87,55332448,522004.226415094,555974.066835826,1244208,4,0,0,0,0,3092,2152,2.7831753508,1.9337646918,0,2920,516.0801526718,437.4351284879,191349.491635226,0,0,1,1,0,0,0,1,0,518.0574712644,353.5194805195,754.8691588785,0,0,0,0,0,0,154,54442,107,80771,8192,1223,101,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
80,6,23/02/2018 10:05:25,177,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11299.4350282486,177.0,0.0,177,177,177,177.0,0.0,177,177,0,0.0,0.0,0,0,0,0,0,0,40,0,11299.4350282486,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
0,0,23/02/2018 10:02:37,112640956,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332967,56320478.0,53.7401153702,56320516,56320440,112640956,56320478.0,53.7401153702,56320516,56320440,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332967,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320478.0,53.7401153702,56320516,56320440,Brute Force -Web
500,17,23/02/2018 10:02:50,89479476,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5272414872,0.067054483,17895895.2,15345099.8260594,41990219,4000257,89479476,17895895.2,15345099.8260594,41990219,4000257,0,0.0,0.0,0,0,0,0,0,0,48,0,0.067054483,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000257.0,0.0,4000257,4000257,21369804.75,15281005.6764957,41990219,7200399,Brute Force -Web
500,17,23/02/2018 10:02:50,89479477,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5272411125,0.0670544822,17895895.4,15345100.2077506,41990221,4000258,89479477,17895895.4,15345100.2077506,41990221,4000258,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670544822,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000258.0,0.0,4000258,4000258,21369804.75,15281006.4906654,41990221,7200399,Brute Force -Web
500,17,23/02/2018 10:03:27,89479422,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5272617206,0.0670545234,17895884.4,15345117.1347571,41990219,4000288,89479422,17895884.4,15345117.1347571,41990219,4000288,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670545234,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000288.0,0.0,4000288,4000288,21369783.5,15281044.6891789,41990219,7200344,Brute Force -Web
500,17,23/02/2018 10:03:27,89479434,6,0,3000,0,500,500,500.0,0.0,0,0,0.0,0.0,33.5272572243,0.0670545144,17895886.8,15345121.6871838,41990230,4000287,89479434,17895886.8,15345121.6871838,41990230,4000287,0,0.0,0.0,0,0,0,0,0,0,48,0,0.0670545144,0.0,500,500,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583.3333333333,500.0,0.0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000287.0,0.0,4000287,4000287,21369786.75,15281049.4963066,41990230,7200344,Brute Force -Web
80,6,23/02/2018 10:05:25,56152274,153,104,54995,72486,646,0,359.4444444444,271.4171844443,1068,0,696.9807692308,368.2234700538,2270.2731504694,4.5768404678,219344.8203125,412832.446411477,1090562,12,56150631,369412.046052632,481751.461936277,1090562,85,56152261,545167.582524272,554711.656355354,1148729,37,0,0,0,0,3072,2092,2.7247338193,1.8521066484,0,1068,494.1124031008,355.4035232791,126311.664359183,0,0,1,1,0,0,0,1,0,496.0350194553,359.4444444444,696.9807692308,0,0,0,0,0,0,153,54995,104,72486,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
80,6,23/02/2018 10:06:21,131,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15267.1755725191,131.0,0.0,131,131,131,131.0,0.0,131,131,0,0.0,0.0,0,0,0,0,0,0,40,0,15267.1755725191,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
80,6,23/02/2018 10:06:22,5009144,4,4,646,364,646,0,161.5,323.0,364,0,91.0,182.0,201.6312567576,1.5970792614,715592.0,1868361.46115128,4952409,18,56735,18911.6666666667,31809.9662108172,55642,357,5009117,1669705.66666667,2888624.69096668,5005202,1084,0,0,0,0,92,92,0.7985396307,0.7985396307,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,0,1,1,126.25,161.5,91.0,0,0,0,0,0,0,4,646,4,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web
