Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,detailed_label,parent_label
172.31.69.25-18.216.24.42-80-57465-6,18.216.24.42,57465,172.31.69.25,80,6,20/02/2018 10:28:21,1699744,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,578.9107066,4.118267221,283290.6667,693643.2543,1699184.0,8.0,527.0,263.5,181.7264428,392.0,135.0,1699736.0,566578.6667,980865.0232,1699184.0,25.0,0,0,0,0,72,92,1.764971666,2.353295555,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.55.126-80-57621-6,18.218.55.126,57621,172.31.69.25,80,6,20/02/2018 10:28:13,983818,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,1000.184994,7.115137149,163969.6667,401473.5098,983474.0,1.0,313.0,156.5,219.9102089,312.0,1.0,983815.0,327938.3333,567710.5591,983474.0,25.0,0,0,0,0,72,92,3.049344493,4.065792657,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.5.43-80-58036-6,18.219.5.43,58036,172.31.69.25,80,6,20/02/2018 10:29:04,1134316,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,867.4831352,6.171119864,189052.6667,462869.9784,1133882.0,2.0,405.0,202.5,283.5498193,403.0,2.0,1134311.0,378103.6667,654523.2637,1133882.0,25.0,0,0,0,0,72,92,2.644765656,3.526354208,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-52.14.136.135-80-51588-6,52.14.136.135,51588,172.31.69.25,80,6,20/02/2018 10:14:59,1034753,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,950.9515797,6.764899449,172458.8333,422169.1952,1034208.0,6.0,517.0,258.5,357.0889245,511.0,6.0,1034746.0,344915.3333,596945.0111,1034208.0,22.0,0,0,0,0,72,92,2.899242621,3.865656828,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.55.126-80-49948-6,18.218.55.126,49948,172.31.69.25,80,6,20/02/2018 10:47:00,1163972,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,845.3811604,6.013890368,193995.3333,474932.4017,1163447.0,5.0,464.0,232.0,195.1614716,370.0,94.0,1163967.0,387989.0,671566.3586,1163447.0,56.0,0,0,0,0,72,92,2.577381586,3.436508782,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.229.235-80-61095-6,18.218.229.235,61095,172.31.69.25,80,6,20/02/2018 10:35:11,1452319,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,677.5370976,4.819877727,242053.1667,592615.7898,1451725.0,2.0,562.0,281.0,394.5655839,560.0,2.0,1452314.0,484104.6667,837983.8335,1451725.0,24.0,0,0,0,0,72,92,2.065661883,2.754215844,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.32.43-80-50354-6,18.219.32.43,50354,172.31.69.25,80,6,20/02/2018 10:48:33,1154441,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,852.3605797,6.063540709,192406.8333,471108.4999,1154053.0,4.0,361.0,180.5,201.5254326,323.0,38.0,1154437.0,384812.3333,666181.9804,1154053.0,23.0,0,0,0,0,72,92,2.598660304,3.464880405,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.229.235-80-49688-6,18.218.229.235,49688,172.31.69.25,80,6,20/02/2018 10:45:48,1291091,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,762.1461229,5.4217712,215181.8333,526891.7118,1290695.0,2.0,371.0,185.5,259.5081887,369.0,2.0,1291075.0,430358.3333,745073.4283,1290695.0,21.0,0,0,0,0,72,92,2.323616228,3.098154971,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.55.126-80-50522-6,18.218.55.126,50522,172.31.69.25,80,6,20/02/2018 10:48:14,1591598,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,618.2465673,4.398095499,265266.3333,649565.8295,1591187.0,2.0,370.0,185.0,258.8010819,368.0,2.0,1591590.0,530530.0,918555.922,1591187.0,34.0,0,0,0,0,72,92,1.884898071,2.513197428,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.216.24.42-80-54463-6,18.216.24.42,54463,172.31.69.25,80,6,20/02/2018 10:21:57,571409,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,1722.058981,12.25041958,95234.83333,233077.8842,571003.0,3.0,344.0,172.0,239.002092,341.0,3.0,571403.0,190467.6667,329553.2976,571003.0,55.0,0,0,0,0,72,92,5.250179819,7.000239758,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
